,Country1,Country2,s_nom,s_nom_max
1,BE,NL,7775.0,37775.0
2,BE,ex,11439.0,61439.0
4,DE,DK,4379.0,14379.0
5,DE,NL,13584.0,43584.0
6,DE,ex,71678.0,191678.0
7,DK,ex,3396.0,13396.0
9,NO,ex,7776.0,57776.0
11,UK,ex,983.0,10983.0
