,NUTS_ID,CNTR_CODE,NAME_LATN,Node,lon,lat
96,UKM5,UK,North Eastern Scotland,UK3,-2.61985,57.23833
97,UKM6,UK,Highlands and Islands,UK3,-4.81672,57.47728
98,UKG1,UK,Herefordshire Worcestershire and Warwickshire,UK4,-2.17977,52.20564
99,UKG2,UK,Shropshire and Staffordshire,UK4,-2.41781,52.73717
100,UKG3,UK,West Midlands,UK4,-1.87471,52.48828
101,UKH1,UK,East Anglia,UK1,0.73055,52.45306
102,UKH2,UK,Bedfordshire and Hertfordshire,UK4,-0.3172,51.93399
103,UKH3,UK,Essex,UK1,0.5527,51.79554
104,UKI3,UK,Inner London — West,UK4,-0.17894,51.49794
105,UKI4,UK,Inner London — East,UK4,-0.05414,51.50835
106,UKK2,UK,Dorset and Somerset,UK4,-2.66234,50.9705
107,NO0B,NO,Jan Mayen and Svalbard,NO1,17.91451,78.76792
108,NO0A,NO,Vestlandet,NO1,6.6886,61.05015
109,NO09,NO,Agder og Sør-Østlandet,NO1,8.18775,59.10675
110,NO02,NO,Innlandet,NO1,10.44138,61.43829
111,NO06,NO,Trøndelag,NO1,11.3575,63.75007
112,NO07,NO,Nord-Norge,NO1,20.30118,68.81661
113,NO08,NO,Oslo og Viken,NO1,9.9481,60.07981
