,BE1,BE2,DE1,DE2,DE3,DE4,DK1,NL1,NL2,NL3,NL4,NO1,UK1,UK2,UK3,UK4
0,2715.021955005138,8372.278018235153,8623.955530247706,1823.0439771150627,3060.3026034433724,36365.18543104004,7845.057626932325,7684.561515633327,4225.750771435884,3131.9351107881603,5557.169151130518,21715.146834355997,3541.853388331312,16240.51876431585,6233.781377921078,29187.35583139038
1,2402.8887133354065,7695.315446901097,8100.431508874359,1763.565352992185,2901.492872524189,35089.77782973743,7805.910956663807,7704.661077507382,4235.389145039598,3139.3362078962687,5563.959840245583,21466.801463629716,3370.4865735177427,15432.957268652244,5888.471033433751,27518.951570584966
2,2145.3482102647613,7136.7550056974505,7907.029543781404,1741.5925641290996,2842.8248596313288,34618.61256068379,7847.89546544987,7649.972273084363,4209.164139127908,3119.198597196228,5545.483085814897,20605.136205743816,3119.3304027178383,14249.390583603177,5382.382243994657,25073.72887127766
3,1951.4263799645844,6716.172371898005,7909.155346108781,1741.834080835932,2843.4697165659018,34623.791433737395,7980.036602121929,7611.151695295337,4190.548448169708,3104.9040136719814,5532.367452912831,19915.337584594963,2820.888599973783,12842.991632588499,4781.01119192088,22168.139619109326
4,1860.0462114445415,6517.9847212673085,8181.123654071163,1772.7329509970273,2925.9706373311974,35286.359784237706,8260.515725932368,7507.009781322768,4140.609117105529,3066.5566893290493,5497.182837145241,19427.952456453946,2479.66385368178,11234.979213306586,4093.4309575687485,18846.02138271001
5,1916.7240202878436,6640.909005162517,8496.790079032255,1808.596452712231,3021.727274967011,36055.38535218635,8684.249668942826,7124.156255160834,3957.01878096935,2925.5816699201114,5367.834780254114,19238.939583575855,2433.0505620061876,11015.315332733806,3999.5034849498634,18392.200644276316
6,2177.1420801418844,7205.710365240511,9368.954580947362,1907.6848277721624,3286.2962426011172,38180.149813635115,9042.402272475505,7032.967816327021,3913.291049622422,2892.0040976737737,5337.026529661953,19997.334028710764,2539.7582992827965,11518.172668372128,4214.523444085682,19431.092822594976
7,2518.5013078749325,7946.059003913497,10903.6055062922,2082.0396268298314,3751.828845803454,41918.86165038396,9222.751147686915,7323.493058008618,4052.6070624878985,2998.981828806192,5435.181236152615,20747.19587136094,2722.9613901385183,12381.51229584081,4583.684313903769,21214.733475010275
8,2688.9843328598936,8315.806956247081,11588.186515264972,2159.8162614292096,3959.494819834887,43586.63578663247,9275.960048448476,7896.868380141444,4327.558606431708,3210.1111292898768,5628.897576003788,21880.83976956587,2941.8613307188925,13413.07236543815,5024.775630050931,23345.913855247047
9,2755.0659258787027,8459.126408185486,12037.562738292077,2210.8708040442216,4095.811997551399,44681.404750986636,9279.983192700658,7944.353031444366,4350.3289937947475,3227.5960136689346,5644.940388616119,22422.32120341244,3162.2050776744954,14451.436333661355,5468.776268387138,25491.150940166284
10,2718.7593677161944,8380.383814674773,12704.722924559504,2286.668223701591,4298.1934076406305,46306.738332853216,9162.922881333297,7822.046672633758,4291.679238754658,3182.5601445207185,5603.61886804355,22678.71521485396,3318.303004576139,15187.043606608682,5783.319250182094,27010.899361871627
