,BE1,BE2,DE1,DE2,DE3,DE4,DK1,NL1,NL2,NL3,NL4,NO1,UK1,UK2,UK3,UK4
0,2448.0392796372685,7652.944634946643,8621.364026338535,1765.8155602694337,3029.5224359601507,35322.118453200324,6099.992655934858,5516.6766929842015,3102.691145575556,2286.997362833829,4367.594173604665,21828.555021274435,2190.284796838069,10020.992206218123,3810.541352300809,17788.953091311072
1,2215.1835737808938,7147.921214361626,8182.042223429375,1715.9033206826573,2896.2552419851495,34251.844036033275,6060.920058999708,5386.4617241408205,3040.2489626875577,2239.049370963263,4323.600708618513,21595.093858512824,2093.21761813991,9563.565743022144,3614.947468204061,16843.92009469179
2,2025.3451131848028,6736.194697391643,7906.299554939926,1684.5756377795892,2812.6093781891154,33580.080600093235,6086.399145941524,5290.204485073337,2994.090581822952,2203.605355906576,4291.079950719531,21173.15989735013,1964.3342308840702,8956.206254595241,3355.24277041631,15589.128770720414
3,1891.2945457107962,6445.462392301202,7511.660741896044,1639.7399231475065,2692.896659858908,32618.66274460526,6169.193489539849,5207.620084463832,2954.488758066754,2173.19597821189,4263.178596759322,20858.090779456987,1835.5990604494386,8349.54523394314,3095.8367348966644,14335.78046578569
4,1848.0965823830725,6351.773542711537,7515.817393965845,1640.21216880573,2694.15757009374,32628.789167518742,6345.981957597577,5071.356383444145,2889.1460173999667,2123.0207112147173,4217.141551917701,20567.044368080897,1727.3874326767477,7839.600854878987,2877.786381890025,13282.246611865039
5,1947.4822229651231,6567.323666249153,7838.092820147878,1676.826532531844,2791.9190320789485,33413.91556379633,6691.883723725102,4923.39718178341,2818.1949154481317,2068.53890577085,4167.153151847739,20592.131379118808,1744.649991714436,7920.950199036564,2912.5710641782607,13450.312564903945
6,2266.4627390218284,7259.136781699686,8294.47789875151,1728.677365420746,2930.362328985253,34525.75948042351,7040.591705594449,5182.608242164439,2942.494791128107,2163.9860723009833,4254.728280960676,21360.026484477137,1874.433255971361,8532.550333575142,3174.0890467468425,14713.86497032767
7,2595.2429594811742,7972.203747125432,9514.15170376602,1867.2469760580461,3300.3473934249196,37497.12503103275,7214.99356189917,5514.956510860427,3101.8662640144926,2286.363954254007,4367.013005612196,22118.22032241128,2070.0858264890157,9454.557798378386,3568.336069420294,16618.71208232137
8,2740.146552666495,8286.47437243125,10102.38897211512,1934.0778032040917,3478.7877294731034,38930.18684442162,7257.331410318216,5951.037845018725,3310.9810122144936,2446.9386136103876,4514.344215501611,22996.344485489695,2359.567443614216,10818.732116183548,4151.65202263445,19437.06617241723
9,2784.167329976016,8381.947762064992,10510.338931256614,1980.4258240973231,3602.5383514021605,39924.03327285342,7270.927104914946,6113.011413873872,3388.6524450713387,2506.5808147466814,4569.067405879837,23557.12145735621,2651.788305911101,12195.815053024677,4740.487654176637,22282.08918508601
