,ERAA,\cite{Neumann2023},Demand (2019)
BE,95241787.60850461,131490000.00000001,81704599.53
DE,583104552.55775,730080000.0,496514996.15000004
DK,52547645.31829361,49630000.0,30749929.34
NL,139857241.4268166,186490000.0,107622217.35
NO,162960887.436471,112610000.00000001,116266645.16
