,index,NUTS_ID,CNTR_CODE,NUTS_NAME,Capacity_Wind_on,Capacity_PV,Potential_Wind_on,Potential_PV,RemainingPotential_Wind_on,RemainingPotential_PV,CapacityNational_2030_Wind_on,CapacityNational_2030_PV,CapacityNational_2023_Wind_on,CapacityNational_2023_PV,RemainingPotentialNational_PV,RemainingPotentialNational_Wind_on,Capacity_PV_2030,Capacity_Wind_on_2030,problem_PV,problem_Wind_on,Node,lon,lat
25,25,UKJ2,UK,"Surrey, East and West Sussex",7.5,414.663,2440.0,25210.0,2432.5,24795.337,26590.369,23407.674,14914.4,14041.048,1209254.191997,421470.599998,606.7224112966599,74.88736840157955,False,False,UK4,-0.22168,51.04009
26,26,UKJ3,UK,Hampshire and Isle of Wight,0.0,649.402,4275.0,22390.0,4275.0,21740.597999999998,26590.369,23407.674,14914.4,14041.048,1209254.191997,421470.599998,817.8000521465525,118.4300102432693,False,False,UK4,-1.2881,51.02741
27,27,UKJ4,UK,Kent,81.4,463.496,2910.0,20940.0,2828.6,20476.504,26590.369,23407.674,14914.4,14041.048,1209254.191997,421470.599998,622.1026486474332,159.76049753780387,False,False,UK1,0.72155,51.22974
28,28,UKK1,UK,"Gloucestershire, Wiltshire and Bristol/Bath area",43.6,1222.954,7290.0,36350.0,7246.4,35127.046,26590.369,23407.674,14914.4,14041.048,1209254.191997,421470.599998,1495.0406336824012,244.3464856670939,False,False,UK4,-2.11182,51.52045
29,29,UKL2,UK,East Wales,236.3,390.977,15975.0,38070.0,15738.7,37679.023,26590.369,23407.674,14914.4,14041.048,1209254.191997,421470.599998,682.830705219385,672.3080473019281,False,False,UK4,-3.29406,52.28542
30,30,UKM5,UK,North Eastern Scotland,492.5,100.209,17690.0,32860.0,17197.5,32759.791,26590.369,23407.674,14914.4,14041.048,1209254.191997,421470.599998,353.95937950327584,968.9210762944149,False,False,UK3,-2.61985,57.23833
31,31,UKM6,UK,Highlands and Islands,3357.6,39.829,63630.0,32119.999999999996,60272.4,32080.170999999995,26590.369,23407.674,14914.4,14041.048,1209254.191997,421470.599998,288.31518740516333,5027.321859505597,False,False,UK3,-4.81672,57.47728
32,32,UKG1,UK,"Herefordshire, Worcestershire and Warwickshire",2.5,424.428,11185.0,45880.0,11182.5,45455.572,26590.369,23407.674,14914.4,14041.048,1209254.191997,421470.599998,776.5172012265426,312.28797416265706,False,False,UK4,-2.17977,52.20564
33,33,UKG2,UK,Shropshire and Staffordshire,4.0,397.773,11320.0,43190.0,11316.0,42792.227,26590.369,23407.674,14914.4,14041.048,1209254.191997,421470.599998,729.2324968276912,317.48631483341177,False,False,UK4,-2.41781,52.73717
34,34,UKG3,UK,West Midlands,0.0,96.507,55.0,12270.0,55.0,12173.493,26590.369,23407.674,14914.4,14041.048,1209254.191997,421470.599998,190.8002898634937,1.5236609504982013,False,False,UK4,-1.87471,52.48828
35,35,UKH1,UK,East Anglia,329.0,1470.7,33530.0,95270.0,33201.0,93799.3,26590.369,23407.674,14914.4,14041.048,1209254.191997,421470.599998,2197.2494450847266,1248.7648584998324,False,False,UK1,0.73055,52.45306
36,36,UKH2,UK,Bedfordshire and Hertfordshire,31.6,232.449,4075.0,24140.0,4043.4,23907.551,26590.369,23407.674,14914.4,14041.048,1209254.191997,421470.599998,417.6318095986303,143.61401249535322,False,False,UK4,-0.3172,51.93399
37,37,UKH3,UK,Essex,83.0,386.027,5020.0,30820.0,4937.0,30433.973,26590.369,23407.674,14914.4,14041.048,1209254.191997,421470.599998,621.7620875206271,219.76934750199308,False,False,UK1,0.5527,51.79554
38,38,UKI3,UK,Inner London — West,0.0,13.092,0.0,21050.0,0.0,21036.908,26590.369,23407.674,14914.4,14041.048,1209254.191997,421470.599998,176.0394189434084,0.0,False,True,UK4,-0.17894,51.49794
39,39,UKI4,UK,Inner London — East,0.0,30.665,0.0,12830.0,0.0,12799.335,26590.369,23407.674,14914.4,14041.048,1209254.191997,421470.599998,129.80592900163987,0.0,False,True,UK4,-0.05414,51.50835
40,40,UKK2,UK,Dorset and Somerset,2.0,926.067,8785.0,32210.0,8783.0,31283.933,26590.369,23407.674,14914.4,14041.048,1209254.191997,421470.599998,1168.3856970608285,245.3148023313764,False,False,UK4,-2.66234,50.9705
41,41,BE10,BE,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,0.0,251.63,0.0,4580.0,0.0,4328.37,4669.0,10400.0,3010.934,7286.24,176353.76,10344.809151,328.0531245832241,0.0,False,True,BE2,4.37163,50.83634
42,42,BE21,BE,Prov. Antwerpen,481.149,1213.72,1085.0,19060.0,603.851,17846.28,4669.0,10400.0,3010.934,7286.24,176353.76,10344.809151,1528.819790403108,577.9342376541151,False,False,BE2,4.71909,51.22937
43,43,BE22,BE,Prov. Limburg (BE),353.815,978.72,1460.0,13380.0,1106.185,12401.28,4669.0,10400.0,3010.934,7286.24,176353.76,10344.809151,1197.681079212601,531.1143306534515,False,False,BE2,5.42905,50.99108
44,44,BE23,BE,Prov. Oost-Vlaanderen,591.55,1241.41,2025.0,23330.0,1433.45,22088.59,4669.0,10400.0,3010.934,7286.24,176353.76,10344.809151,1631.413411315982,821.3033645142449,False,False,BE2,3.81482,51.03633
45,45,BE33,BE,Prov. Liège,289.18,592.0,435.55882499999996,18020.0,146.37882499999995,17428.0,4669.0,10400.0,3010.934,7286.24,176353.76,10344.809151,899.7145011254652,312.64159791927995,False,False,BE2,5.73702,50.52074
46,46,BE34,BE,Prov. Luxembourg (BE),115.59,168.0,689.248367,12400.0,573.658367,12232.0,4669.0,10400.0,3010.934,7286.24,176353.76,10344.809151,383.9722158461492,207.53596246816946,False,False,BE2,5.51349,49.96095
47,47,BE35,BE,Prov. Namur,325.81,259.0,780.9558840000001,18030.0,455.1458840000001,17771.0,4669.0,10400.0,3010.934,7286.24,176353.76,10344.809151,572.7706219589534,398.76078181576634,False,False,BE2,4.85181,50.25499
48,48,BE25,BE,Prov. West-Vlaanderen,271.06,1140.73,4185.0,25340.0,3913.94,24199.27,4669.0,10400.0,3010.934,7286.24,176353.76,10344.809151,1568.000271726557,898.3862991432445,False,False,BE1,3.05602,51.01093
49,49,BE31,BE,Prov. Brabant Wallon,59.48,175.0,197.683007,8200.0,138.203007,8025.0,4669.0,10400.0,3010.934,7286.24,176353.76,10344.809151,316.6920399088741,81.63117781871412,False,False,BE2,4.58459,50.66956
50,50,BE24,BE,Prov. Vlaams-Brabant,65.99,707.03,134.52287600000002,15380.0,68.53287600000003,14672.97,4669.0,10400.0,3010.934,7286.24,176353.76,10344.809151,966.100785149123,76.97444929424643,False,False,BE2,4.5885,50.87292
51,51,BE32,BE,Prov. Hainaut,457.31,559.0,2362.774192,25920.0,1905.464192,25361.0,4669.0,10400.0,3010.934,7286.24,176353.76,10344.809151,1006.7821587699633,762.7177987187674,False,False,BE2,3.96274,50.46845
52,52,DK01,DK,Hovedstaden,70.75,187.915,1815.0,16390.0,1744.25,16202.085,6156.593,6466.973,4729.603,3362.973,264517.027,78275.397,378.039894455282,102.5483351460996,False,False,DK1,12.90566,55.69296
53,53,DK03,DK,Syddanmark,981.65,1049.682,25650.0,78680.0,24668.35,77630.318,6156.593,6466.973,4729.603,3362.973,264517.027,78275.397,1960.6422879061543,1431.3633213709538,False,False,DK1,9.44911,55.35796
54,54,DK02,DK,Sjælland,689.89,668.8,13060.0,44300.0,12370.11,43631.2,6156.593,6466.973,4729.603,3362.973,264517.027,78275.397,1180.794431269636,915.4017692842874,False,False,DK1,11.70163,55.27987
55,55,DK05,DK,Nordjylland,1200.0,380.209,17920.0,47310.0,16720.0,46929.791,6156.593,6466.973,4729.603,3362.973,264517.027,78275.397,930.9110584500975,1504.8119040520485,False,False,DK1,9.67029,57.05098
56,56,DK04,DK,Midtjylland,1787.313,1076.367,24560.0,81200.0,22772.686999999998,80123.633,6156.593,6466.973,4729.603,3362.973,264517.027,78275.397,2016.58532791883,2202.4676701466105,False,False,DK1,9.36385,56.24368
57,57,DE24,DE,Oberfranken,655.61568,1823.262562,619.8584569999999,20450.0,0.0,18626.737438,75371.898,96139.648,60461.070546999996,78767.253241,1664432.746759,250149.963237,2017.6777683069413,655.61568,False,True,DE4,11.37514,50.05094
58,58,DE27,DE,Schwaben,176.69958,3307.657799,4665.7216339999995,52700.0,4489.022053999999,49392.342201,75371.898,96139.648,60461.070546999996,78767.253241,1664432.746759,250149.963237,3823.1867493034692,444.2792046929259,False,False,DE4,10.51637,48.15884
59,59,DE30,DE,Berlin,16.5752,252.058019,28.851927,13640.0,12.276727000000001,13387.941981,75371.898,96139.648,60461.070546999996,78767.253241,1664432.746759,250149.963237,391.7936818301166,17.306985668148002,False,False,DE4,13.40246,52.50127
60,60,DEG0,DE,Thüringen,1787.344419,2355.222669,12853.613440000001,82280.0,11066.269021,79924.777331,75371.898,96139.648,60461.070546999996,78767.253241,1664432.746759,250149.963237,3189.4316723514294,2446.9776477455794,False,False,DE4,11.02633,50.90367
61,61,DE14,DE,Tübingen,108.8251,2555.618803,2651.728513,48520.0,2542.903413,45964.381197,75371.898,96139.648,60461.070546999996,78767.253241,1664432.746759,250149.963237,3035.368661660442,260.4013526215694,False,False,DE4,9.50107,48.13091
62,62,DE26,DE,Unterfranken,625.89023,2359.074747,1346.2451019999999,30430.0,720.3548719999999,28070.925253,75371.898,96139.648,60461.070546999996,78767.253241,1664432.746759,250149.963237,2652.062971183328,668.8288219643068,False,False,DE4,9.94701,50.01134
63,63,DEE0,DE,Sachsen-Anhalt,5528.61695,4214.888089,30018.82058,99240.0,24490.20363,95025.111911,75371.898,96139.648,60461.070546999996,78767.253241,1664432.746759,250149.963237,5206.705727381921,6988.418086447866,False,False,DE4,11.70297,52.00893
64,64,DEF0,DE,Schleswig-Holstein,8294.1884,2861.8124,29150.0,95620.0,20855.8116,92758.1876,75371.898,96139.648,60461.070546999996,78767.253241,1664432.746759,250149.963237,3829.9691820955068,9537.352317098983,False,False,DE3,9.8202,54.17998
65,65,DE25,DE,Mittelfranken,569.621925,2416.616844,1183.147059,29600.0,613.5251339999999,27183.383156,75371.898,96139.648,60461.070546999996,78767.253241,1664432.746759,250149.963237,2700.3414126199905,606.1926575828605,False,False,DE4,10.78627,49.34732
66,66,DEA1,DE,Düsseldorf,908.7527,1724.207485,3355.0,38620.0,2446.2473,36895.792515,75371.898,96139.648,60461.070546999996,78767.253241,1664432.746759,250149.963237,2109.3046141960203,1054.5675181421439,False,False,DE1,6.59615,51.42999
67,67,DEB1,DE,Koblenz,1457.6034,1233.868145,1164.031866,33290.0,0.0,32056.131855,75371.898,96139.648,60461.070546999996,78767.253241,1664432.746759,250149.963237,1568.4516708985382,1457.6034,False,True,DE4,7.50467,50.25108
68,68,DE80,DE,Mecklenburg-Vorpommern,3655.79432,3735.151479,46870.0,114860.0,43214.20568,111124.848521,75371.898,96139.648,60461.070546999996,78767.253241,1664432.746759,250149.963237,4895.008937824929,6231.687420581615,False,False,DE4,12.53314,53.75715
69,69,DE73,DE,Kassel,894.58768,1265.716301,1833.155707,33290.0,938.5680269999999,32024.283699,75371.898,96139.648,60461.070546999996,78767.253241,1664432.746759,250149.963237,1599.9674141053774,950.5334243942956,False,False,DE4,9.45625,51.05226
70,70,DE91,DE,Braunschweig,1048.7485,935.522847,8361.520004999998,40360.0,7312.771504999999,39424.477153,75371.898,96139.648,60461.070546999996,78767.253241,1664432.746759,250149.963237,1347.012936703373,1484.6449227028995,False,False,DE4,10.34291,52.03648
71,71,DEB2,DE,Trier,1060.3721,1139.697856,1313.708061,16410.0,253.335961,15270.302144,75371.898,96139.648,60461.070546999996,78767.253241,1664432.746759,250149.963237,1299.0805150178132,1075.4728369868453,False,False,DE4,6.67503,49.9736
72,72,DEB3,DE,Rheinhessen-Pfalz,1492.5985,1509.481386,1563.959889,31350.0,71.36138899999992,29840.518614,75371.898,96139.648,60461.070546999996,78767.253241,1664432.746759,250149.963237,1820.9396111431497,1496.8521778515426,False,False,DE4,7.94352,49.46331
73,73,DEC0,DE,Saarland,537.5747,818.707162,323.458824,8020.0,0.0,7201.292838,75371.898,96139.648,60461.070546999996,78767.253241,1664432.746759,250149.963237,893.8701280017797,537.5747,False,True,DE4,6.9527,49.38467
74,74,DED2,DE,Dresden,551.5653,1302.823378,8262.938502,38360.0,7711.373202000001,37057.176622,75371.898,96139.648,60461.070546999996,78767.253241,1664432.746759,250149.963237,1689.6049419802384,1011.2213948992492,False,False,DE4,14.13859,51.17087
75,75,DED4,DE,Chemnitz,521.6736,986.624398,6781.218756,37720.0,6259.545156,36733.375602,75371.898,96139.648,60461.070546999996,78767.253241,1664432.746759,250149.963237,1370.0263125749018,894.7897761832819,False,False,DE4,12.78986,50.71666
76,76,DEA2,DE,Köln,1313.6896,1776.448123,3274.1470600000002,35810.0,1960.4574600000003,34033.551877,75371.898,96139.648,60461.070546999996,78767.253241,1664432.746759,250149.963237,2131.6708253948104,1430.5476739998403,False,False,DE1,6.80837,50.82517
77,77,DEA3,DE,Münster,1998.3852,2374.037957,12965.0,48160.0,10966.6148,45785.962043,75371.898,96139.648,60461.070546999996,78767.253241,1664432.746759,250149.963237,2851.9255788221612,2652.0782843815114,False,False,DE1,7.41574,51.95047
