Node_PyPSA,Node,x,y,country
AL1 0,,19.8979136573805,41.5875683288346,AL
AT1 0,,10.2932504008243,47.2488274313161,AT
AT1 1,,16.1989288,47.8890327,AT
AT1 2,,12.6539611666667,47.5119983333333,AT
AT1 3,,14.2867424685565,47.5163333273634,AT
BA1 0,,18.1227037442985,43.8113666651554,BA
BE1 0,BE2,5.28804598646182,50.7082609373049,BE
BE1 1,BE2,4.328441625,51.21664375,BE
BE1 2,BE2,4.32263623450335,50.5966151559676,BE
BE1 3,BE2,5.7150878,50.2928417,BE
BE1 4,BE1,3.35491861276249,51.1754071189623,BE
BG1 0,,23.7160164761905,42.7404978571429,BG
BG1 1,,26.5019205994435,42.8125657703786,BG
CH1 0,,8.73157273668467,46.8851273422073,CH
CH1 1,,7.26991522524184,46.7008420850985,CH
CZ1 0,,14.0527361922838,49.9759753972617,CZ
CZ1 1,,17.876231446548,49.6942304341937,CZ
CZ1 2,,16.0974870100861,49.6117376112551,CZ
DE1 0,DE4,11.782379,50.7277353333333,DE
DE1 1,DE4,8.45555995290914,49.255358424742,DE
DE1 10,DE4,8.56097638161642,50.1017747606963,DE
DE1 11,DE4,11.489595311885,48.3863331353716,DE
DE1 12,DE4,9.25374015240353,51.2216325616811,DE
DE1 13,DE4,11.0087029927173,49.7713867843555,DE
DE1 14,DE3,9.41231648125709,53.8060222517206,DE
DE1 15,DE4,12.0209016207835,53.4443226772331,DE
DE1 16,DE4,9.22695965274171,48.7031796838454,DE
DE1 17,DE4,10.88974,50.5724896666667,DE
DE1 18,DE4,14.2134094444444,51.4764045555556,DE
DE1 19,DE4,7.9553322068333,51.2022480273976,DE
DE1 2,DE1,6.90224231493641,51.2726948521302,DE
DE1 20,DE3,10.3612061,53.5695912,DE
DE1 21,DE4,11.5248542857143,51.7841797142857,DE
DE1 22,DE4,12.040329,49.519566,DE
DE1 23,DE4,9.762554125,49.820571625,DE
DE1 24,DE4,12.6596833333333,48.5836045,DE
DE1 25,DE2,7.81034212795177,53.055242574608,DE
DE1 26,DE4,7.1593453223954,49.728723142726,DE
DE1 27,DE4,13.3104106572356,52.4773524005388,DE
DE1 3,DE4,10.2974112013322,52.1567503696737,DE
DE1 4,DE4,10.1135829850167,48.125753969857,DE
DE1 5,DE4,13.8043458355748,53.8360174989446,DE
DE1 6,DE4,8.08582590864218,47.8006938537901,DE
DE1 7,DE4,12.7262878,51.0520558,DE
DE1 8,DE4,6.55118685714286,49.9055137142857,DE
DE1 9,DE4,8.51875260492591,52.2107341208656,DE
DK1 0,DK1,9.7805718045467,55.9540109165631,DK
DK2 0,DK1,12.2839744286048,55.5099025437355,DK
EE6 0,,25.8791517961115,58.979906280848,EE
ES1 0,,-8.41002760442536,42.6458105277312,ES
ES1 1,,-4.40657667101367,40.0600286753312,ES
ES1 10,,-3.89460118656731,42.8514352066321,ES
ES1 11,,-6.72018416094326,42.7485609430916,ES
ES1 12,,-3.06622179212072,40.2182447226298,ES
ES1 2,,1.86661422518736,41.6580454061156,ES
ES1 3,,-0.886954112617465,38.8656239777363,ES
ES1 4,,-6.16104113727399,37.2958870224174,ES
ES1 5,,-2.21139641815992,42.5204392462525,ES
