,DE,BE,DK,UK,NL,NO
0,46062.49829,9610.30928988084,5819.407804643934,32578.80956466527,14637.23337476972,21074.163498388356
1,44444.58464,8907.34523413548,5783.862018061247,31014.59078505575,14328.193147573242,20831.421021269925
2,43600.93561,8329.29104686915,5802.261916000731,28822.40037566843,14112.647968711799,20380.96268917723
3,43300.21834,7921.92815061865,5888.837798827992,26546.15970350495,13946.383756012783,20050.703141265265
4,43475.05558,7783.42043024046,6081.865041590167,24586.17137690471,13724.74574157415,19804.942907844044
5,44477.49849,8066.96841391007,6387.402047729821,24536.43362698865,13550.948611241849,19823.06164289778
6,46914.43143,8987.95475831199,6672.004288600774,26425.6274492809,14269.851701532194,20508.94655007493
7,51387.23672,9945.92213988411,6848.240070805156,29711.93404186889,15087.965166672719,21244.33374628463
8,53584.01139,10377.2980987967,6932.542225858169,34757.04988348717,16072.729960628589,22129.125367198205
9,55089.36842,10507.5595272622,6963.485416366268,39635.44042351196,16445.119734811648,22716.39831018117
10,57046.20116,10466.2667824336,6898.010318188803,42833.04205574956,16415.93805232801,22993.485347931473
11,57206.00975,10453.4256812239,6798.573879715324,44990.5335956466,16212.723722368537,23062.45383472868
12,56165.17558,10190.7390165552,6742.033677156792,45995.27308390235,16402.641518717042,23190.518002303827
13,54890.75277,10226.6534038413,6717.109839820987,45504.77136947175,16126.943674387,23391.945903476022
14,54919.50312,10196.9960773799,6773.937579072465,44473.96450243442,16005.505289904017,23566.58825889492
15,56750.12474,10121.1557810247,7087.209071388273,45304.35692567367,16323.122928636123,23998.019045713256
16,60805.23466,10136.3511599472,7493.078259981166,47946.58742548843,17145.864587946002,24082.788283915004
17,61277.58049,10865.3987221856,7439.698753463919,50533.33308694451,17644.471216083686,23854.79584413371
18,60634.48841,11233.8253828407,7131.3920948332725,51488.83715886727,18039.433662540865,23731.301145695805
19,57793.91866,10921.5869335933,6779.907561815115,50104.52769053774,18033.14320599941,23366.23161316639
20,55241.60146,10415.6564204037,6432.787028056528,46609.6722986907,17509.05615310144,22981.662719782187
21,54256.85405,10009.3398688144,6127.403870180663,43799.28224518777,16856.37772680029,22440.27523631722
