,DE,BE,DK,UK,NL,NO
0,47968.45969,9454.10407642735,5724.234436231231,26857.42304741416,14508.822064911317,20437.060354837187
1,46326.6643,8752.89704125003,5686.643616003984,25146.81753448856,14198.983305127877,20195.18320629632
2,45444.11669,8175.97331844628,5706.407981753706,22792.34095739364,13983.796836805821,19743.614140655918
3,45239.06018,7769.94885086925,5787.254689340996,20494.1260447381,13821.162309234871,19423.76164879088
4,45232.8794,7629.6023447575,5967.080668967659,18408.45109352264,13609.54765966093,19234.941301535902
5,46404.06304,7911.35242527631,6278.117076382336,18353.20351163601,13459.088780831058,19348.285302998192
6,49462.21506,8823.14217753765,6582.11900885371,20798.52468911108,14206.68049348153,20103.7126441035
7,54140.19316,9773.16785482859,6762.151743733073,24836.43920574393,15040.696764816636,20834.590389414792
8,56425.33889,10201.9513850325,6837.934968507299,29727.48345154701,16033.056138059652,21669.667175093473
9,58031.68989,10331.084124684,6868.746951198824,34665.18626555995,16403.54708887536,22192.790167285253
10,59971.90642,10293.1330124177,6804.153484588003,37738.16399812575,16371.892059901576,22437.75396342436
11,60085.30667,10284.0094774337,6699.7547644146325,40050.67718222421,16167.97547656468,22478.84178540043
12,59058.17738,10023.1607106742,6647.234572192182,41314.23327548823,16360.37830457262,22572.689504451373
13,57779.60336,10060.3290979955,6624.0382808863615,40935.62285635887,16084.066284235607,22736.700155306087
14,57774.0574,10031.7169195341,6674.048585564589,40094.40466959184,15963.17293958904,22854.140193277664
15,59512.80217,9956.12724562108,6976.662951238344,41109.44788572891,16283.731933190396,23206.474042499507
16,62779.36976,9972.53396634743,7403.176083979728,44355.63825530327,17110.254241549013,23226.897670786107
17,63270.47716,10696.0225131539,7364.411215250768,46131.55159767996,17606.38669331086,22948.252289248434
18,62627.18849,11060.2703574575,7057.393872889979,44996.46701500176,17999.942095722454,22785.750121047553
19,59985.97018,10749.8324748337,6702.795641554347,41935.58255375227,17986.301646893957,22398.29857057466
20,57675.31573,10246.5361607597,6357.496156518229,38243.02404937329,17449.529914318715,22017.213954753308
21,56577.78473,9845.06941550714,6053.1967651126815,36058.32647745687,16780.04660684283,21489.4805283061
22,53211.93279,10238.4275571383,5799.691487128472,31629.16840023889,16059.408804822113,21489.843903666522
23,49153.30131,10303.5224638039,5623.993449980058,27810.89610264895,15315.571028502207,20944.43442443439
24,54582.7348,12710.7599871784,6012.134304809126,30433.91595209172,15127.070468600547,20862.065340001507
25,54250.10461,12001.5946749479,5959.206094449237,28775.9077564143,14720.967125866217,20614.625550209108
26,54046.72318,11419.8412317031,5986.945234763223,26472.33873842641,14461.505466225428,20238.69541772143
27,53988.12684,11010.0459664607,6089.2619614878095,24344.15046190059,14263.825553533892,20134.946914877673
