,BE1,BE2,DE1,DE2,DE3,DE4,DK1,NL1,NL2,NL3,NL4,UK1,UK2,UK3,UK4,NO1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.006421791088238791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.008929023764654261,0.0,0.0005621389109839272,0.09208217022464057,0.02109585558793192,0.0628131425624855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004726750710118976,0.032
11,0.009,0.07517368383172376,0.012015126162364371,0.0020799139706405303,0.14839390285417414,0.04282843788853328,0.13060596338932592,0.0,0.0,0.010978222300129641,0.001674175800983612,0.00036137254085202473,0.04259342098046061,0.043682120866168114,0.05155021351093261,0.13
12,0.09000000000000001,0.09708693560518428,0.020355398753352426,0.057838801500468835,0.18987840154555574,0.04950553936026601,0.14857879724236317,0.004,0.0006918398326105708,0.0467214296032994,0.016256213607576165,0.030035769583577815,0.05565959082111039,0.09571300698007885,0.061283373960448126,0.175
13,0.060999999999999985,0.11612699054867537,0.033562258838671886,0.02996307932243669,0.16846537875946505,0.03743643211271679,0.10914957193562817,0.04207796579620606,0.008226558493495137,0.005637465505471979,0.024910799334192713,0.03866095633468456,0.055189155168178405,0.11603405525138372,0.06745331643385316,0.159
14,0.027,0.06636705409482144,0.021910734965790424,0.025236705604164647,0.09535924328498999,0.021686053198566573,0.04811184534122092,0.0,0.004578560585863,0.0031826464416054635,0.009292495755790997,0.06026207482599052,0.0840246611576566,0.10247548987836468,0.05134123429764726,0.0
15,0.0,0.026897754135613367,0.0,0.0,0.0,0.00925597453983138,0.0,0.0,0.0,0.0,0.0,0.01724026925363146,0.02000211158596429,0.04451408446111939,0.02416349612387646,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.002932303029385874,0.0007743759133873369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.002507836070469299,0.006839797425703155,0.0019112722973453524,0.1169056653636868,0.04124518571170489,0.0909476050000277,0.025703230134580916,0.08108160167389426,0.0910410934197904,0.04259015117556971,0.04268489716439878,0.0041859230828852935,0.0,0.02578016888830973,0.032
35,0.019000000000000003,0.05420079020673107,0.02260106975449738,0.06154147513919875,0.23684478673385026,0.0929638957157312,0.1969521764218072,0.1643907902114843,0.22943360376626212,0.20823625424414025,0.13668055957387645,0.1258282303588832,0.08971246946646783,0.011930106760597085,0.12075944572007793,0.129
36,0.017,0.08305286691955009,0.019032479793260955,0.14062579597584637,0.2820143156879635,0.10586040531634733,0.23601382561707476,0.23142213032683942,0.2648172834314832,0.1860898912121563,0.128309153753565,0.21918808991383035,0.1876452462348427,0.06027832189111743,0.20703289966253421,0.16799999999999998
37,0.041,0.1013813872100573,0.0,0.26270267363872996,0.2586950026249198,0.10448552100880701,0.21572717235680025,0.28132810998077423,0.21597440460320924,0.23265395489793145,0.07832295322812108,0.21162053524228813,0.1982436423786658,0.08332213310960655,0.23749152096433035,0.153
38,0.07,0.026705077118183998,0.006433306927968985,0.2022248555643936,0.18893158201061844,0.06675427973433296,0.1535583208027087,0.18078119593078698,0.13309376602601944,0.1763682858535865,0.034104588912267926,0.21446445411767165,0.18579772183586604,0.0893076339590493,0.23080079354127286,0.0
