,NUTS_ID,CNTR_CODE,NUTS_NAME,Capacity_Wind_on,Capacity_PV,Potential_Wind_on,Potential_PV,RemainingPotential_Wind_on,RemainingPotential_PV,Node
58,DE27,DE,Schwaben,176.69958,3307.657799,4665.7216339999995,52700.0,4489.022053999999,49392.342201,DE4
59,DE30,DE,Berlin,16.5752,252.058019,28.851927,13640.0,12.276727000000001,13387.941981,DE4
60,DEG0,DE,Thüringen,1787.344419,2355.222669,12853.613440000001,82280.0,11066.269021,79924.777331,DE4
61,DE14,DE,Tübingen,108.8251,2555.618803,2651.728513,48520.0,2542.903413,45964.381197,DE4
62,DE26,DE,Unterfranken,625.89023,2359.074747,1346.2451019999999,30430.0,720.3548719999999,28070.925253,DE4
63,DEE0,DE,Sachsen-Anhalt,5528.61695,4214.888089,30018.82058,99240.0,24490.20363,95025.111911,DE4
64,DEF0,DE,Schleswig-Holstein,8294.1884,2861.8124,29150.0,95620.0,20855.8116,92758.1876,DE3
65,DE25,DE,Mittelfranken,569.621925,2416.616844,1183.147059,29600.0,613.5251339999999,27183.383156,DE4
66,DEA1,DE,Düsseldorf,908.7527,1724.207485,3355.0,38620.0,2446.2473,36895.792515,DE1
67,DEB1,DE,Koblenz,1457.6034,1233.868145,1164.031866,33290.0,0.0,32056.131855,DE4
68,DE80,DE,Mecklenburg-Vorpommern,3655.79432,3735.151479,46870.0,114860.0,43214.20568,111124.848521,DE4
69,DE73,DE,Kassel,894.58768,1265.716301,1833.155707,33290.0,938.5680269999999,32024.283699,DE4
70,DE91,DE,Braunschweig,1048.7485,935.522847,8361.520004999998,40360.0,7312.771504999999,39424.477153,DE4
71,DEB2,DE,Trier,1060.3721,1139.697856,1313.708061,16410.0,253.335961,15270.302144,DE4
72,DEB3,DE,Rheinhessen-Pfalz,1492.5985,1509.481386,1563.959889,31350.0,71.36138899999992,29840.518614,DE4
73,DEC0,DE,Saarland,537.5747,818.707162,323.458824,8020.0,0.0,7201.292838,DE4
74,DED2,DE,Dresden,551.5653,1302.823378,8262.938502,38360.0,7711.373202000001,37057.176622,DE4
75,DED4,DE,Chemnitz,521.6736,986.624398,6781.218756,37720.0,6259.545156,36733.375602,DE4
76,DEA2,DE,Köln,1313.6896,1776.448123,3274.1470600000002,35810.0,1960.4574600000003,34033.551877,DE1
77,DEA3,DE,Münster,1998.3852,2374.037957,12965.0,48160.0,10966.6148,45785.962043,DE1
78,DEA4,DE,Detmold,2190.1725,1986.767289,6037.591907,35500.0,3847.419407,33513.232711,DE4
79,DEA5,DE,Arnsberg,689.9861,1516.206079,3185.595023,34420.0,2495.608923,32903.793921,DE4
80,DE60,DE,Hamburg,118.6998,109.311516,305.0,8370.0,186.30020000000002,8260.688484,DE3
81,DE40,DE,Brandenburg,8533.94005,6508.835339,30761.08937,112490.0,22227.149320000004,105981.164661,DE4
82,DE50,DE,Bremen,201.314,91.400082,150.0,3180.0,0.0,3088.599918,DE2
83,DE11,DE,Stuttgart,1199.295243,3137.127064,2326.713239,62920.0,1127.4179960000001,59782.872936,DE4
84,DE71,DE,Darmstadt,563.157,1444.532864,0.0,30540.0,0.0,29095.467136,DE4
85,DE72,DE,Gießen,987.08835,840.525521,0.0,23460.0,0.0,22619.474479,DE4
86,DE92,DE,Hannover,2122.9088,1297.932254,12778.22737,51510.0,10655.31857,50212.067746,DE4
87,DE93,DE,Lüneburg,3598.1643,1227.908209,24450.07353,82090.0,20851.90923,80862.091791,DE3
88,DE94,DE,Weser-Ems,5694.1885,3429.422313,26840.0,84460.0,21145.8115,81030.577687,DE2
89,DE21,DE,Oberbayern,229.38955,4416.636838,6266.386037,85470.0,6036.996487,81053.363162,DE4
90,DE22,DE,Niederbayern,35.45749,4227.329485,6441.568628999999,49360.0,6406.111139,45132.670515,DE4
