,Country1,Country2,s_nom,s_nom_max
0,BE,DE,0.0,10000.0
1,BE,UK,0.0,10000.0
3,DE,DK,600.0,10600.0
4,DE,NO,0.0,10000.0
5,DE,UK,0.0,10000.0
6,DE,ex,600.0,20600.0
7,DK,NL,0.0,10000.0
8,DK,NO,1140.0,11140.0
9,DK,UK,0.0,10000.0
10,DK,ex,300.0,10300.0
11,NL,NO,700.0,10700.0
12,NL,UK,1000.0,11000.0
13,NO,UK,0.0,20000.0
15,UK,ex,2500.0,62500.0
