,BE1,BE2,DE1,DE2,DE3,DE4,DK1,NL1,NL2,NL3,NL4,NO1,UK1,UK2,UK3,UK4
0,1381.893226653593,2997.0854338365343,4869.676919836,553.2538552003213,1477.204578452388,11863.49184733493,4101.951412720313,4221.007766269474,2024.1063009435727,1554.2671311937436,1426.0784226351484,12945.112079593135,912.9166405487393,4302.095061169068,1839.5601270820628,8888.033628381776
1,1159.7573929614127,2515.311546642529,4426.409507499932,502.8933469373092,1342.740493511896,10783.605148688135,4064.360592493066,4078.965670735385,1955.9926379298993,1501.9641332938763,1378.0891322183556,12703.234931052266,814.9628019958961,3840.4902373075615,1642.1795912336488,7934.368230669849
2,976.9933507988873,2118.928209616664,4188.130975515458,475.8220404416161,1270.4592838569783,10203.111726202946,4084.124958242788,3980.315853932581,1908.6869406096691,1465.6391189264202,1344.7600357254287,12251.665865411866,680.139187336332,3205.137587357804,1370.5051198736655,6621.743651635007
3,848.3685950848499,1839.9635440796212,4132.767883912207,469.532127502928,1253.665025482163,10068.236333709649,4164.971665830079,3905.757883462649,1872.9340431571416,1438.1852478873845,1319.5704320074972,11931.81337354683,548.5372657869368,2584.9670793498653,1105.3224769281574,5340.485043414646
4,803.9081339415377,1743.536556882528,4131.0991386023425,469.3425379693248,1253.1588156755201,10064.170941548166,4344.7976454567415,3808.7455268026774,1826.413559600112,1402.4631820619763,1286.7945556712066,11742.99302629185,429.1059498573744,2022.1502222700628,864.6640455330354,4177.717814606347
5,893.1639255823874,1937.1168045114548,4447.306349705022,505.26747949308213,1349.079499464183,10834.513971021974,4655.834052871418,3739.7693455926765,1793.3373060765177,1377.0646475824442,1263.4907739332523,11856.33702775414,425.94232582151915,2007.2417292757104,858.2892284085062,4146.917196489301
6,1182.0103954689039,2563.5744285989276,5272.975090580042,599.0733769945707,1599.5440917531257,12846.005603263562,4959.835985342792,4082.494360187401,1957.6847557722247,1503.2634737204176,1379.2813091027274,12611.764368859447,565.9679448308855,2667.1086845053155,1140.4459271239377,5510.187790222966
7,1482.9696489661758,3216.30256810887,6535.979762162038,742.565895120863,1982.673468543591,15922.933676956705,5139.868720222155,4464.839741936172,2141.0314206418657,1644.051383272418,1508.4576880858006,13342.64211417074,797.1897102605865,3756.735021573713,1606.366167051135,7761.331799951713
8,1618.804262963218,3510.9041590054403,7152.9449703223,812.6605616784607,2169.828354841646,17425.98240844115,5215.651944996382,4919.775738313298,2359.1875738125623,1811.5687405292065,1662.158994512637,14177.71889984942,1077.2639616225051,5076.577381792369,2170.725937202831,10488.09704223309
9,1659.712307720908,3599.626574533091,7586.642771772122,861.9338470717139,2301.3895217348263,18482.555650651295,5246.463927687906,5089.623148840831,2440.6347619923586,1874.1102619191631,1719.542382723704,14700.8418920412,1360.0100071666598,6409.010500077334,2740.469469493484,13240.874513326018
10,1647.6897501310686,3573.55174361636,8110.480739562225,921.4481392826922,2460.294487531365,19758.72808724318,5181.870461077086,5075.111256743241,2433.6758522106534,1868.7666667050164,1714.6395023363805,14945.805688180306,1535.9769162042812,7238.249815777508,3095.0491706115545,14954.064672800689
11,1644.7994995371364,3567.283294080509,8141.097609168469,924.9265838330526,2469.582040012721,19833.31681026196,5077.471740903715,4981.627991991055,2388.847679486179,1834.3440894991422,1683.0559388551872,14986.893510156377,1668.397594949255,7862.278695000236,3361.8816389889257,16243.29459095731
12,1562.1650487047286,3388.0635800345603,7863.783550860095,893.4203721508367,2385.45949896001,19157.725159306283,5024.951548681264,5069.832905075636,2431.144716173811,1866.823062485806,1712.8561975340524,15080.74122920732,1740.7521902237465,8203.247774933068,3507.6787715706146,16947.729199117242
13,1573.9396463490934,3413.6006290688547,7518.5820715664295,854.2013331090216,2280.7434748591104,18316.746383361886,5001.755257375444,4943.160766259436,2370.4014319797448,1820.1796179100018,1670.0596868622704,15244.751880062035,1719.071946830637,8101.0802123280355,3463.992295149913,16736.653265356592
14,1564.875575686047,3393.942240394885,7517.084720950698,854.0312160736664,2280.289257213563,18313.098542424028,5051.765562053672,4887.738571755026,2343.8247424022125,1799.771956984762,1651.335154690258,15362.191918033612,1670.9015476172228,7874.078504454678,3366.9271943917993,16267.672737360026
15,1540.9294736208526,3342.007320740816,7986.527441770355,907.3655541344243,2422.6935579365145,19456.753446622948,5354.379927727427,5034.695237942497,2414.295096987372,1853.8846069993497,1700.984845550118,15714.525767255454,1729.025632081093,8147.986685771962,3484.0493317849964,16833.56100622021
16,1546.126969372989,3353.279782687009,8868.466184965484,1007.5644005374962,2690.2275177471925,21605.329884440634,5780.89306046881,5413.6050966283065,2595.994320235525,1993.4074820214712,1829.0005241550243,15734.949395542055,1914.9111591476199,9023.967221579733,3858.615407815418,18643.317496805896
17,1775.3213776563548,3850.3624872938626,9001.059995194842,1022.6286517994797,2730.449525648253,21928.354514730898,5742.12819173985,5641.051440526575,2705.0620129059753,2077.15818706784,1905.843861410298,15456.304014004381,2016.604698370168,9503.195284044621,4063.531576090333,19633.3921172618
18,1890.711689655291,4100.623952237389,8827.3788496192,1002.8963851733462,2677.7637751028474,21505.23304517726,5435.110849379062,5821.472489546963,2791.5795941014662,2143.5931527906637,1966.7995808129585,15293.8018458035,1951.60672477816,9196.894085494778,3932.558302901753,19000.5805883634
19,1792.3678704880533,3887.333357675507,8114.277806200908,921.8795317119819,2461.446318405505,19767.97848924179,5080.512618043429,5815.219179157458,2788.580934619648,2141.29054750355,1964.6868836775077,14906.350295330609,1776.3323087420763,8370.918124398393,3579.3740002870413,17294.132447613883
20,1632.9283031243895,3541.536739162504,7490.42551309981,851.0024094889809,2272.2022517420432,18248.151462730275,4735.213133007312,5569.142213926442,2670.579271646784,2050.679641297969,1881.5491426793105,14525.265679509255,1564.8865505869649,7374.485688554664,3153.3031319666015,15235.524984908778
21,1505.7473912360597,3265.70351910569,7194.103736773824,817.3366924751136,2182.3137659369863,17526.25326794212,4430.913741601764,5262.225119417566,2523.402848559613,1937.6660724036783,1777.8564061924005,13997.532253062047,1439.7849350307908,6784.947697325821,2901.218841255942,14017.552481570669
22,1630.3595732983067,3535.9656121052726,6285.359267860357,714.0923932957595,1906.6483548182002,15312.37280405527,4177.408463617554,4931.856822075922,2364.980834360805,1816.0172590918817,1666.2406199987595,13997.89562842247,1186.1595188009408,5589.744759745964,2390.1544327568454,11548.289540862028
23,1650.9810312071268,3580.689958336178,5189.571641263785,589.5977422387483,1574.2438594755301,12642.818378055126,4001.7104264691407,4590.852757381939,2201.4586343994238,1690.4521242459568,1551.031512217193,13452.486149190336,967.5150532226362,4559.388609209615,1949.5779080007032,9419.59643088494
24,2413.5713751768953,5234.615433773158,6655.4613302116095,756.1404379985518,2018.9179098625937,16214.014303412436,4389.851281298208,4504.436795232803,2160.019456086147,1658.6318820156066,1521.8356552521975,13370.117064757455,1117.7161725992435,5267.2073356420315,2252.238608853103,10881.934327625904
25,2188.9144337101557,4747.373703447333,6565.65469262192,745.9373240575253,1991.675286089645,15995.227650741088,4336.923070938319,4318.263284062994,2070.7433879303553,1590.07873425253,1458.9364515911402,13122.677274965055,1022.7741968535236,4819.79583407516,2060.9270857514557,9957.59202111943
26,2004.620381261293,4347.672040913856,6510.743854924106,739.6987926007777,1975.018217830464,15861.454037813131,4364.6622112523055,4199.316003639172,2013.7044168794337,1546.2797510369587,1418.749804364603,12746.747142477376,890.8656849386952,4198.180527234176,1795.1266521046416,8673.34849033651
27,1874.80107209719,4066.116597250055,6494.923462101487,737.901405738367,1970.219140377236,15822.912445760428,4466.978937976892,4108.691870417987,1970.2472878647982,1512.9099684262299,1388.1322058874116,12642.99863963362,768.999942502069,3623.891500859133,1549.5627630414306,7486.880012477038
28,1831.1766164919316,3971.5027602822124,6837.232244872728,776.7917996710095,2074.0576720659406,16656.844043385707,4824.65666480166,4032.640929467667,1933.7784639975825,1484.906353090571,1362.4381982200903,13168.637214073839,675.3945357435538,3182.778544617614,1360.9444749042352,6575.550361866271
29,1923.76643036959,4172.313920755415,8438.120812650917,958.6719914064464,2559.6833020294307,20556.923819718762,5618.884693816079,4073.138661593848,1953.198403336613,1499.8185014250535,1376.1204620653064,14575.730466674358,757.5461319367962,3569.9157273045976,1526.4829195122752,7375.367253309819
30,2222.7635133365584,4820.786454548758,10051.163403099501,1141.933026267471,3048.9958250313866,24486.613188481908,6396.224701784173,4612.337375701016,2211.761186235628,1698.363229348968,1558.2901462448829,16373.79117133109,1027.2891833462531,4841.07258622193,2070.024947218136,10001.54932236322
31,2533.7601063954867,5495.283833254959,11073.707828257224,1258.1063689029324,3359.182174429865,26977.732753720942,6674.766272539973,5120.835426017586,2455.6020329377284,1885.6033032002538,1730.0875315288708,17197.534374574527,1333.8207848596676,6285.594495878916,2687.697237095275,12985.899767301236
32,2672.3336477644016,5795.825680006502,11435.411593794232,1299.2002660994146,3468.904126684704,27858.91434836011,6699.704342492172,5635.5685351056045,2702.432786895365,2075.1392616947674,1903.9914475918067,17696.976941678913,1579.4118011084026,7442.935540112809,3182.5720383577195,15376.940870391607
33,2714.322972453341,5886.893203151255,11770.014132874456,1337.2151380823768,3570.4049882054614,28674.07201894527,6725.689387555236,5854.440970900435,2807.3890203179644,2155.7328667572083,1977.938067754618,17798.603432833806,1793.3068588238189,8450.910234114277,3613.5783340877283,17459.394384193867
34,2699.1114846615887,5853.902138712763,12211.761129397226,1387.4029088262346,3704.4078587291597,29750.254685291246,6609.424639569364,5867.7633267628435,2813.7775099720234,2160.6384487825426,1982.4390602393676,17662.09133455951,1913.1603557230935,9015.716607634078,3855.087475442336,18626.271910141466
35,2692.9673943585076,5840.576678252889,12334.829069728956,1401.384906720745,3741.74021730478,30050.07242080602,6422.245607986089,5769.1009972529155,2766.465812414235,2124.308826963387,1949.1057362958823,17429.37776135002,2015.2635583651484,9496.875197921026,4060.829130359269,19620.33495855143
