,Technology,Country,Capacity TYNDP,Capacity ERAA
155,Nuclear,IE,0.0,0.0
156,Oil,IE,324.0,324.0
157,Solar,IE,600.0,1508.0
158,Wind Offshore,IE,3500.0,5000.2
159,Wind Onshore,IE,5800.0,5745.800000000001
160,Biofuels,IL,0.0,
161,Coal & Lignite,IL,0.0,
162,Gas,IL,17710.0,
163,Nuclear,IL,0.0,
164,Oil,IL,0.0,
165,Solar,IL,10000.0,
166,Wind Offshore,IL,0.0,
167,Wind Onshore,IL,500.0,
168,Biofuels,IS,0.0,
169,Coal & Lignite,IS,0.0,
170,Gas,IS,0.0,
171,Nuclear,IS,0.0,
172,Oil,IS,0.0,
173,Solar,IS,0.0,
174,Wind Offshore,IS,0.0,
175,Wind Onshore,IS,0.0,
176,Biofuels,IT,4714.311,3701.02
177,Coal & Lignite,IT,0.0,0.0
178,Gas,IT,46817.797,52771.090000000004
179,Nuclear,IT,0.0,0.0
180,Oil,IT,0.0,0.0
181,Solar,IT,52000.009,70900.31172320094
182,Wind Offshore,IT,900.001,5000.0
183,Wind Onshore,IT,18400.03,18400.0
184,Biofuels,LT,212.39,210.99
185,Coal & Lignite,LT,0.0,0.0
186,Gas,LT,509.2,659.89
187,Nuclear,LT,0.0,0.0
188,Oil,LT,150.0,0.0
189,Solar,LT,1250.0,2000.0
190,Wind Offshore,LT,1400.0,1400.0
191,Wind Onshore,LT,2000.0,3608.33
192,Biofuels,LU,96.3,96.3
193,Coal & Lignite,LU,0.0,0.0
194,Gas,LU,100.0,100.0
195,Nuclear,LU,0.0,0.0
196,Oil,LU,0.0,0.0
197,Solar,LU,608.0,608.0
198,Wind Offshore,LU,0.0,0.0
199,Wind Onshore,LU,400.0,400.0
200,Biofuels,LV,159.091,159.0179090909091
201,Coal & Lignite,LV,0.0,0.0
202,Gas,LV,1061.002,1077.0
203,Nuclear,LV,0.0,0.0
204,Oil,LV,0.0,0.0
205,Solar,LV,108.8,39.18933538461539
206,Wind Offshore,LV,500.0,500.0
207,Wind Onshore,LV,396.04,198.0
208,Biofuels,LY,0.0,
209,Coal & Lignite,LY,0.0,
210,Gas,LY,14914.002,
211,Nuclear,LY,0.0,
212,Oil,LY,350.0,
213,Solar,LY,800.0,
214,Wind Offshore,LY,0.0,
215,Wind Onshore,LY,1000.0,
216,Biofuels,MA,0.0,
217,Coal & Lignite,MA,3766.003,
218,Gas,MA,1895.0,
219,Nuclear,MA,0.0,
220,Oil,MA,675.0,
221,Solar,MA,3041.0,
222,Wind Offshore,MA,0.0,
223,Wind Onshore,MA,4847.0,
224,Biofuels,MD,0.0,
225,Coal & Lignite,MD,0.0,
226,Gas,MD,0.0,
227,Nuclear,MD,0.0,
228,Oil,MD,0.0,
229,Solar,MD,0.0,
230,Wind Offshore,MD,0.0,
231,Wind Onshore,MD,0.0,
232,Biofuels,ME,49.0,49.0
233,Coal & Lignite,ME,450.0,450.0
234,Gas,ME,0.0,0.0
235,Nuclear,ME,0.0,0.0
236,Oil,ME,0.0,0.0
237,Solar,ME,31.5,31.5
238,Wind Offshore,ME,0.0,0.0
239,Wind Onshore,ME,254.2,254.2
240,Biofuels,MK,31.0,31.0
241,Coal & Lignite,MK,410.0,0.0
