,Technology,Country,Capacity TYNDP,Capacity ERAA
588,Hydro - Pump Storage Closed Loop (Pumping),LT,,-900.0
589,Hydro - Pump Storage Closed Loop (Turbine),LT,,938.0
590,Hydro - Pump Storage Open Loop (Energy),LT,,0.0
591,Hydro - Pump Storage Open Loop (Pumping),LT,,0.0
592,Hydro - Pump Storage Open Loop (Turbine),LT,,0.0
593,Hydro - Reservoir (Energy),LT,,0.0
594,Hydro - Reservoir (Turbine),LT,,0.0
595,Hydro - Run of River (Turbine),LT,,126.2
596,Hydro - Pondage (Energy),LU,,0.0
597,Hydro - Pondage (Turbine),LU,,0.0
598,Hydro - Pump Storage Closed Loop (Energy),LU,,0.0
599,Hydro - Pump Storage Closed Loop (Pumping),LU,,0.0
600,Hydro - Pump Storage Closed Loop (Turbine),LU,,0.0
601,Hydro - Pump Storage Open Loop (Energy),LU,,0.0
602,Hydro - Pump Storage Open Loop (Pumping),LU,,0.0
603,Hydro - Pump Storage Open Loop (Turbine),LU,,0.0
604,Hydro - Reservoir (Energy),LU,,0.0
605,Hydro - Reservoir (Turbine),LU,,0.0
606,Hydro - Run of River (Turbine),LU,,42.0
607,Hydro - Pondage (Energy),LV,,16000.4
608,Hydro - Pondage (Turbine),LV,,1592.0
609,Hydro - Pump Storage Closed Loop (Energy),LV,,0.0
610,Hydro - Pump Storage Closed Loop (Pumping),LV,,0.0
611,Hydro - Pump Storage Closed Loop (Turbine),LV,,0.0
612,Hydro - Pump Storage Open Loop (Energy),LV,,0.0
613,Hydro - Pump Storage Open Loop (Pumping),LV,,0.0
614,Hydro - Pump Storage Open Loop (Turbine),LV,,0.0
615,Hydro - Reservoir (Energy),LV,,0.0
616,Hydro - Reservoir (Turbine),LV,,0.0
617,Hydro - Run of River (Turbine),LV,,0.0
618,Hydro - Pondage (Energy),ME,,0.0
619,Hydro - Pondage (Turbine),ME,,0.0
620,Hydro - Pump Storage Closed Loop (Energy),ME,,0.0
621,Hydro - Pump Storage Closed Loop (Pumping),ME,,0.0
622,Hydro - Pump Storage Closed Loop (Turbine),ME,,0.0
623,Hydro - Pump Storage Open Loop (Energy),ME,,0.0
624,Hydro - Pump Storage Open Loop (Pumping),ME,,0.0
625,Hydro - Pump Storage Open Loop (Turbine),ME,,0.0
626,Hydro - Reservoir (Energy),ME,,582400.0000000001
627,Hydro - Reservoir (Turbine),ME,,1058.4
628,Hydro - Run of River (Turbine),ME,,78.853
629,Hydro - Pondage (Energy),MK,,0.0
630,Hydro - Pondage (Turbine),MK,,0.0
631,Hydro - Pump Storage Closed Loop (Energy),MK,,0.0
632,Hydro - Pump Storage Closed Loop (Pumping),MK,,0.0
633,Hydro - Pump Storage Closed Loop (Turbine),MK,,0.0
634,Hydro - Pump Storage Open Loop (Energy),MK,,0.0
635,Hydro - Pump Storage Open Loop (Pumping),MK,,0.0
636,Hydro - Pump Storage Open Loop (Turbine),MK,,0.0
637,Hydro - Reservoir (Energy),MK,,628336.9999999999
638,Hydro - Reservoir (Turbine),MK,,707.6
639,Hydro - Run of River (Turbine),MK,,230.5000011
640,Hydro - Pondage (Energy),MT,,0.0
641,Hydro - Pondage (Turbine),MT,,0.0
642,Hydro - Pump Storage Closed Loop (Energy),MT,,0.0
643,Hydro - Pump Storage Closed Loop (Pumping),MT,,0.0
644,Hydro - Pump Storage Closed Loop (Turbine),MT,,0.0
645,Hydro - Pump Storage Open Loop (Energy),MT,,0.0
646,Hydro - Pump Storage Open Loop (Pumping),MT,,0.0
647,Hydro - Pump Storage Open Loop (Turbine),MT,,0.0
648,Hydro - Reservoir (Energy),MT,,0.0
649,Hydro - Reservoir (Turbine),MT,,0.0
650,Hydro - Run of River (Turbine),MT,,0.0
651,Hydro - Pondage (Energy),NL,,0.0
652,Hydro - Pondage (Turbine),NL,,0.0
653,Hydro - Pump Storage Closed Loop (Energy),NL,,0.0
654,Hydro - Pump Storage Closed Loop (Pumping),NL,,0.0
655,Hydro - Pump Storage Closed Loop (Turbine),NL,,0.0
656,Hydro - Pump Storage Open Loop (Energy),NL,,0.0
657,Hydro - Pump Storage Open Loop (Pumping),NL,,0.0
658,Hydro - Pump Storage Open Loop (Turbine),NL,,0.0
659,Hydro - Reservoir (Energy),NL,,0.0
660,Hydro - Reservoir (Turbine),NL,,0.0
661,Hydro - Run of River (Turbine),NL,,37.7
662,Hydro - Pondage (Energy),NO,,0.0
663,Hydro - Pondage (Turbine),NO,,0.0
664,Hydro - Pump Storage Closed Loop (Energy),NO,,0.0
665,Hydro - Pump Storage Closed Loop (Pumping),NO,,0.0
666,Hydro - Pump Storage Closed Loop (Turbine),NO,,0.0
667,Hydro - Pump Storage Open Loop (Energy),NO,,89577419.451951
668,Hydro - Pump Storage Open Loop (Pumping),NO,,-1093.41
669,Hydro - Pump Storage Open Loop (Turbine),NO,,37829.865000000005
670,Hydro - Reservoir (Energy),NO,,0.0
671,Hydro - Reservoir (Turbine),NO,,0.0
672,Hydro - Run of River (Turbine),NO,,0.0
673,Hydro - Pondage (Energy),PL,,0.0
674,Hydro - Pondage (Turbine),PL,,0.0
675,Hydro - Pump Storage Closed Loop (Energy),PL,,6350.000000000002
676,Hydro - Pump Storage Closed Loop (Pumping),PL,,-1486.0
677,Hydro - Pump Storage Closed Loop (Turbine),PL,,1333.35
678,Hydro - Pump Storage Open Loop (Energy),PL,,1240.0
679,Hydro - Pump Storage Open Loop (Pumping),PL,,-172.0
680,Hydro - Pump Storage Open Loop (Turbine),PL,,216.26
681,Hydro - Reservoir (Energy),PL,,820.0000000000001
682,Hydro - Reservoir (Turbine),PL,,271.48
683,Hydro - Run of River (Turbine),PL,,523.06
684,Hydro - Pondage (Energy),PT,,3700.0
685,Hydro - Pondage (Turbine),PT,,266.0
686,Hydro - Pump Storage Closed Loop (Energy),PT,,0.0
687,Hydro - Pump Storage Closed Loop (Pumping),PT,,0.0
688,Hydro - Pump Storage Closed Loop (Turbine),PT,,0.0
689,Hydro - Pump Storage Open Loop (Energy),PT,,2017900.0
690,Hydro - Pump Storage Open Loop (Pumping),PT,,-3586.4
691,Hydro - Pump Storage Open Loop (Turbine),PT,,3839.4
692,Hydro - Reservoir (Energy),PT,,1289600.0
693,Hydro - Reservoir (Turbine),PT,,3765.5
694,Hydro - Run of River (Turbine),PT,,505.0
695,Hydro - Pondage (Energy),RO,,0.0
696,Hydro - Pondage (Turbine),RO,,0.0
697,Hydro - Pump Storage Closed Loop (Energy),RO,,0.0
698,Hydro - Pump Storage Closed Loop (Pumping),RO,,0.0
699,Hydro - Pump Storage Closed Loop (Turbine),RO,,0.0
700,Hydro - Pump Storage Open Loop (Energy),RO,,1506400.0
701,Hydro - Pump Storage Open Loop (Pumping),RO,,-102.7
702,Hydro - Pump Storage Open Loop (Turbine),RO,,838.7439999999999
703,Hydro - Reservoir (Energy),RO,,2361865.0
704,Hydro - Reservoir (Turbine),RO,,2579.238
705,Hydro - Run of River (Turbine),RO,,3365.632366116505
706,Hydro - Pondage (Energy),RS,,0.0
707,Hydro - Pondage (Turbine),RS,,0.0
708,Hydro - Pump Storage Closed Loop (Energy),RS,,194000.0
709,Hydro - Pump Storage Closed Loop (Pumping),RS,,-560.0
710,Hydro - Pump Storage Closed Loop (Turbine),RS,,614.0
711,Hydro - Pump Storage Open Loop (Energy),RS,,0.0
712,Hydro - Pump Storage Open Loop (Pumping),RS,,0.0
713,Hydro - Pump Storage Open Loop (Turbine),RS,,0.0
714,Hydro - Reservoir (Energy),RS,,646000.0
715,Hydro - Reservoir (Turbine),RS,,434.27
716,Hydro - Run of River (Turbine),RS,,2097.1
717,Hydro - Pondage (Energy),SE,,0.0
718,Hydro - Pondage (Turbine),SE,,0.0
719,Hydro - Pump Storage Closed Loop (Energy),SE,,0.0
720,Hydro - Pump Storage Closed Loop (Pumping),SE,,0.0
721,Hydro - Pump Storage Closed Loop (Turbine),SE,,0.0
722,Hydro - Pump Storage Open Loop (Energy),SE,,0.0
723,Hydro - Pump Storage Open Loop (Pumping),SE,,0.0
724,Hydro - Pump Storage Open Loop (Turbine),SE,,0.0
725,Hydro - Reservoir (Energy),SE,,31931332.9
726,Hydro - Reservoir (Turbine),SE,,15617.2
727,Hydro - Run of River (Turbine),SE,,0.0
728,Hydro - Pondage (Energy),SI,,3449.999999999998
729,Hydro - Pondage (Turbine),SI,,1148.7
730,Hydro - Pump Storage Closed Loop (Energy),SI,,2596.0
731,Hydro - Pump Storage Closed Loop (Pumping),SI,,-185.0
732,Hydro - Pump Storage Closed Loop (Turbine),SI,,180.0
733,Hydro - Pump Storage Open Loop (Energy),SI,,0.0
734,Hydro - Pump Storage Open Loop (Pumping),SI,,0.0
735,Hydro - Pump Storage Open Loop (Turbine),SI,,0.0
736,Hydro - Reservoir (Energy),SI,,0.0
737,Hydro - Reservoir (Turbine),SI,,0.0
738,Hydro - Run of River (Turbine),SI,,129.0
739,Hydro - Pondage (Energy),SK,,11764.17963695
740,Hydro - Pondage (Turbine),SK,,202.88
741,Hydro - Pump Storage Closed Loop (Energy),SK,,4099.5445
742,Hydro - Pump Storage Closed Loop (Pumping),SK,,-690.0
743,Hydro - Pump Storage Closed Loop (Turbine),SK,,760.0
744,Hydro - Pump Storage Open Loop (Energy),SK,,45547.68380375
745,Hydro - Pump Storage Open Loop (Pumping),SK,,-178.28
746,Hydro - Pump Storage Open Loop (Turbine),SK,,276.2
747,Hydro - Reservoir (Energy),SK,,17241.545062499998
748,Hydro - Reservoir (Turbine),SK,,21.28
749,Hydro - Run of River (Turbine),SK,,1425.3015
750,Hydro - Pondage (Energy),TR,,0.0
751,Hydro - Pondage (Turbine),TR,,0.0
752,Hydro - Pump Storage Closed Loop (Energy),TR,,0.0
753,Hydro - Pump Storage Closed Loop (Pumping),TR,,0.0
754,Hydro - Pump Storage Closed Loop (Turbine),TR,,0.0
755,Hydro - Pump Storage Open Loop (Energy),TR,,0.0
756,Hydro - Pump Storage Open Loop (Pumping),TR,,0.0
757,Hydro - Pump Storage Open Loop (Turbine),TR,,0.0
758,Hydro - Reservoir (Energy),TR,,102338808.5720385
759,Hydro - Reservoir (Turbine),TR,,29239.66
760,Hydro - Run of River (Turbine),TR,,10716.137
761,Hydro - Pondage (Energy),UA,,0.0
762,Hydro - Pondage (Turbine),UA,,0.0
763,Hydro - Pump Storage Closed Loop (Energy),UA,,13500.0
764,Hydro - Pump Storage Closed Loop (Pumping),UA,,-2449.0
765,Hydro - Pump Storage Closed Loop (Turbine),UA,,1983.0
766,Hydro - Pump Storage Open Loop (Energy),UA,,0.0
767,Hydro - Pump Storage Open Loop (Pumping),UA,,0.0
768,Hydro - Pump Storage Open Loop (Turbine),UA,,0.0
769,Hydro - Reservoir (Energy),UA,,890000.0
770,Hydro - Reservoir (Turbine),UA,,4938.0
771,Hydro - Run of River (Turbine),UA,,220.0
772,Hydro - Pondage (Energy),UK,,0.0
773,Hydro - Pondage (Turbine),UK,,0.0
774,Hydro - Pump Storage Closed Loop (Energy),UK,,26380.0
775,Hydro - Pump Storage Closed Loop (Pumping),UK,,-2684.0
776,Hydro - Pump Storage Closed Loop (Turbine),UK,,2744.0
777,Hydro - Pump Storage Open Loop (Energy),UK,,0.0
778,Hydro - Pump Storage Open Loop (Pumping),UK,,0.0
779,Hydro - Pump Storage Open Loop (Turbine),UK,,0.0
780,Hydro - Reservoir (Energy),UK,,0.0
781,Hydro - Reservoir (Turbine),UK,,6.0
782,Hydro - Run of River (Turbine),UK,,2095.1100000007
