,index,Node,Country,Technology,Capacity our work
202,106,BE_B,BE,Wind Offshore,165.0
203,107,BE_B,BE,Wind Offshore,165.0
204,108,UK_F,UK,Wind Offshore,406.0
205,109,UK_F,UK,Wind Offshore,406.0
206,110,UK_F,UK,Wind Offshore,609.0
207,111,UK_G,UK,Wind Offshore,2800.0
208,112,UK_G,UK,Wind Offshore,1400.0
209,113,UK3,UK,Wind Offshore,30.0
210,114,UK_F,UK,Wind Offshore,1386.0
211,115,UK2,UK,Wind Offshore,84.0
212,116,UK2,UK,Wind Offshore,90.0
213,117,UK_D,UK,Wind Offshore,1080.0
214,118,UK_E,UK,Wind Offshore,588.0
215,119,UK3,UK,Wind Offshore,97.0
216,120,UK3,UK,Wind Offshore,100.0
217,121,UK3,UK,Wind Offshore,50.0
218,122,UK_E,UK,Wind Offshore,953.0
219,123,UK_D,UK,Wind Offshore,432.0
220,124,UK_D,UK,Wind Offshore,1140.0
221,125,UK_D,UK,Wind Offshore,360.0
222,126,UK_E,UK,Wind Offshore,2000.0
223,127,UK_E,UK,Wind Offshore,882.0
224,128,UK2,UK,Wind Offshore,184.0
225,129,UK2,UK,Wind Offshore,184.0
226,130,UK2,UK,Wind Offshore,388.8
227,131,UK2,UK,Wind Offshore,90.0
228,132,UK2,UK,Wind Offshore,150.0
229,133,UK4,UK,Wind Offshore,90.0
230,134,UK4,UK,Wind Offshore,576.0
231,135,UK4,UK,Wind Offshore,256.0
232,136,UK2,UK,Wind Offshore,90.0
233,137,UK1,UK,Wind Offshore,107.8
234,138,UK1,UK,Wind Offshore,65.0
235,139,UK1,UK,Wind Offshore,12.0
236,140,UK1,UK,Wind Offshore,90.0
237,141,UK1,UK,Wind Offshore,49.5
238,142,UK1,UK,Wind Offshore,630.0
239,143,UK1,UK,Wind Offshore,300.0
240,144,UK_H,UK,Wind Offshore,504.0
241,145,UK1,UK,Wind Offshore,60.0
242,146,UK_B,UK,Wind Offshore,316.8
243,147,UK2,UK,Wind Offshore,270.0
244,148,UK_B,UK,Wind Offshore,402.0
245,149,UK_B,UK,Wind Offshore,573.0
246,150,UK2,UK,Wind Offshore,219.0
247,151,UK2,UK,Wind Offshore,210.0
248,152,UK2,UK,Wind Offshore,97.2
249,153,UK2,UK,Wind Offshore,97.0
250,154,UK2,UK,Wind Offshore,62.1
251,155,UK_H,UK,Wind Offshore,353.0
252,156,UK_F,UK,Wind Offshore,2850.0
253,157,UK_H,UK,Wind Offshore,940.0
254,158,UK_H,UK,Wind Offshore,600.0
255,159,UK_G,UK,Wind Offshore,1400.0
256,160,UK4,UK,Wind Offshore,400.2
257,161,UK2,UK,Wind Offshore,330.0
258,162,UK2,UK,Wind Offshore,329.0
259,163,UK2,UK,Wind Offshore,58.4
260,164,UK_C,UK,Wind Offshore,1200.0
261,165,UK_C,UK,Wind Offshore,1400.0
262,166,UK_C,UK,Wind Offshore,1200.0
263,167,UK_C,UK,Wind Offshore,1200.0
264,168,UK_H,UK,Wind Offshore,714.0
265,169,UK_B,UK,Wind Offshore,857.0
266,170,UK2,UK,Wind Offshore,41.5
267,171,UK4,UK,Wind Offshore,60.0
268,172,UK_H,UK,Wind Offshore,353.0
269,173,UK4,UK,Wind Offshore,1200.0
270,174,UK_C,UK,Wind Offshore,1500.0
271,175,UK_C,UK,Wind Offshore,1500.0
272,176,UK_B,UK,Wind Offshore,1500.0
273,177,UK4,UK,Wind Offshore,1500.0
274,178,UK2,UK,Wind Offshore,573.0
275,179,UK2,UK,Wind Offshore,1500.0
276,180,BE_A,BE,Wind Offshore,700.0
277,181,BE_A,BE,Wind Offshore,1400.0
278,182,BE_A,BE,Wind Offshore,1400.0
279,183,DE4,DE,Wind Offshore,927.0
280,184,DE4,DE,Wind Offshore,288.0
281,185,DE4,DE,Wind Offshore,385.0
282,186,DE4,DE,Wind Offshore,48.3
283,187,DE4,DE,Wind Offshore,350.0
284,188,DE4,DE,Wind Offshore,257.0
285,189,DE4,DE,Wind Offshore,476.25
286,190,UK_D,UK,Wind Offshore,4100.0
