,ERAA,\cite{Neumann2023},Demand (2019)
BE,95233098.14258733,131490000.00000001,81704599.53
DE,585423726.25204,730080000.0,496514996.15000004
DK,53534766.20357339,49630000.0,30749929.34
NL,140481349.23821422,186490000.0,107622217.35
NO,165131753.24932036,112610000.00000001,116266645.16
