Node,total_demand,industrial_demand,other_demand,PyPsa_demand
BE1,23591337.914738726,7550198.177455375,16041139.73728335,32570000.0
BE2,71650449.69376586,36860014.8602648,34790434.83350106,98919999.99999999
DE1,116168854.33038123,29528976.96983998,86639877.36054125,145450000.0
DE2,20062988.111235313,10219656.212038849,9843331.899196465,25120000.0
DE3,38856065.748869345,12574070.942968512,26281994.805900835,48650000.0
DE4,408016644.36726403,196944843.1695174,211071801.19774663,510860000.0
DK1,52547645.31829361,14211199.285955584,38336446.03233802,49630000.0
NL1,51078753.3571799,8253065.074833767,42825688.28234614,68110000.0
NL2,28505409.11916617,7969141.409061188,20536267.71010498,38010000.0
NL3,21050955.90568257,5281603.335448465,15769352.570234105,28070000.0
NL4,39222123.04478797,24753353.17376524,14468769.871022735,52300000.00000001
NO1,162960887.436471,65629466.891137846,97331420.54533315,112610000.00000001
UK1,19864861.48966728,7710302.42055515,12154559.069112131,28030000.0
UK2,90968734.24237218,33690702.251976766,57278031.99039542,128360000.00000001
UK3,34726300.856000595,10234423.687059198,24491877.168941397,49000000.0
UK4,162313565.00101665,43978412.64856729,118335152.35244936,229030000.0
