,ERAA,\cite{Neumann2023},Demand (2019)
BE,95449890.29287308,131490000.00000001,81704599.53
DE,585091927.88775,730080000.0,496514996.15000004
DK,53248554.31465382,49630000.0,30749929.34
NL,139653470.43464637,186490000.0,107622217.35
NO,165405156.9178771,112610000.00000001,116266645.16
