,BE1,BE2,DE1,DE2,DE3,DE4,DK1,NL1,NL2,NL3,NL4,NO1,UK1,UK2,UK3,UK4
0,2783.043118482534,8517.421674292567,8089.452392491655,1766.0192223845881,2900.1122708584353,35130.42898438375,7957.845056879505,7526.529030866004,4150.880791659995,3074.25371994846,5508.768786552057,22358.274521466145,3788.971651635481,17407.127535492982,6735.886096887432,31617.61324962045
1,2471.2977213786535,7841.300270189442,7572.300278415618,1707.264523551878,2743.235442427037,33870.5446039268,7921.078811454716,7540.124894970133,4157.400437138938,3079.2600136743545,5513.36218450572,22110.202939959316,3625.991949750779,16639.09008343435,6407.476089013539,30030.864792254
2,2214.764101321206,7284.923582660988,7382.720551076522,1685.7259868594451,2685.7268960045153,33408.69105866468,7961.673531385606,7482.476331858761,4129.7561336229555,3058.0325552648796,5493.885467924905,21250.495274442725,3384.7401612939366,15502.197533207058,5921.344989063729,27682.069827334984
3,2020.935757145607,6864.543703963627,7383.714849274321,1685.8389510909963,2686.0285139299576,33411.11336485821,8100.934896705507,7440.038876501831,4109.406035840528,3042.4061585261998,5479.547863554764,20549.610151136094,3090.6353175039585,14116.236384361931,5328.713066512136,24818.704624238184
4,1930.6643839984183,6668.760837144727,7655.827228999852,1716.754189536826,2768.573138512089,34074.032702542216,8398.354397018444,7335.324524109292,4059.1922025065296,3003.8480498705962,5444.169847982149,20006.536039757506,2758.9015021205914,12552.949721161534,4660.257402019881,21588.98881466932
5,1987.7026682452351,6792.466929330397,7975.708226864577,1753.0965174134658,2865.6082565259558,34853.32579996054,8814.637791197678,6949.3657827777315,3874.112817797435,2861.7296225030177,5313.772686091397,19722.20548405584,2713.3528085756734,12338.302730583611,4568.475133229658,21145.53286045126
6,2251.5435527450163,7364.69179919226,8662.915803772128,1831.1715617143059,3074.0709935136883,36527.49877288624,9147.332554293627,6853.167940503194,3827.9829195676684,2826.3074786410994,5281.271995552981,20409.55620564393,2794.7404217865533,12721.839664059158,4732.474124431219,21937.91171633148
7,2596.5016297080183,8112.845714277076,10142.798648333748,1999.3040482173546,3522.9898334175878,40132.78478066083,9322.964482381369,7153.946641875615,3972.215789618891,2937.060757287507,5382.890859996465,21162.666690367092,2942.8864095223807,13419.973638029911,5030.99366052184,23380.241127825626
8,2767.422194723728,8483.54261463905,10803.225376349652,2074.336466048564,3723.328665421719,41741.71433236559,9387.588978530483,7718.660601433692,4243.013937138651,3145.0007551433073,5573.680936035197,22345.155804072943,3166.4324332430033,14473.428249191778,5481.447002633136,25556.655148634396
9,2833.911006208291,8627.74525241885,11224.720808120666,2122.223415514709,3851.188273329728,42768.560199313324,9391.966725614153,7763.843528645773,4264.680575232965,3161.6380945052583,5588.946105193033,22950.582839383504,3382.130573855241,15489.899922742916,5916.086575768215,27656.663235011958
10,2794.3029096596674,8541.842197871476,11894.212515166677,2198.285723968701,4054.276944542351,44399.573824887935,9273.98513852736,7663.745728027334,4216.680524022104,3124.7799009124224,5555.127803612093,23237.375524995565,3541.987721960798,16243.22242428491,6238.204524573787,29213.010928756885
