,BE1,BE2,DE1,DE2,DE3,DE4,DK1,NL1,NL2,NL3,NL4,NO1,UK1,UK2,UK3,UK4
0,1431.524748633756,3104.727550258291,4322.9458303358215,491.1386290768536,1311.3550402002436,10531.547258454824,4166.64978183206,4269.030922897281,2047.1349185875183,1571.9503049796897,1442.3031706683114,13482.412045595327,1243.6433363892272,5860.6357006702765,2505.986409183859,12107.944257535117
1,1208.8323072506712,2621.7464780440573,3886.1262355270555,441.5106704189451,1178.8468849300666,9467.368712921156,4131.103995249374,4127.354905648827,1979.1968016532699,1519.7821050897555,1394.4375607498841,13239.669568476897,1154.071993001501,5438.533159326533,2325.4969049875117,11235.889705335354
2,1025.7101445142534,2224.586439942547,3658.349909240787,415.6325407779568,1109.7514936767855,8912.460731468445,4149.503893188858,4028.5406420326544,1931.8122469014638,1483.3965378185849,1361.0529054745048,12789.211236384202,1028.5413175677684,4846.973234989886,2072.548043068672,10013.739932736346
3,896.6613871084139,1944.7021886734724,3577.1594229417196,406.4083252314231,1085.1225583157518,8714.664719916496,4236.079776016119,3952.3186832286606,1895.261414581679,1455.3299499788393,1335.3011189817196,12458.951688472236,898.1976996945956,4232.732449138916,1809.9009276485997,8744.731999870373
4,852.7834360960825,1849.5385643722605,3624.3636308636214,411.77129087460366,1099.4418392890777,8829.663465225507,4429.107018778293,3850.71122765118,1846.537436222599,1417.9158685004058,1300.9727765569987,12213.191455051016,785.9635354419005,3703.8319753391083,1583.7450178039328,7652.035271797073
5,942.6087866478746,2044.3540859592422,3895.0126273444403,442.5202713868784,1181.5425501445475,9489.017713175843,4734.644024917948,3771.0358874598305,1808.330598651754,1388.5776703062004,1274.0542562048272,12231.310190104752,783.1154190945336,3690.4103038223348,1578.0059601099495,7624.306394100502
6,1234.3686509525717,2677.1303545015367,4552.958778813608,517.2708658938319,1381.1289053227292,11091.904091971322,5019.246265788901,4100.608925714131,1966.3712610458012,1509.9336518752746,1385.401362053,12917.1950972819,891.2957010271878,4200.206966460232,1795.9931501125202,8677.535069138457
7,1537.8437621251596,3335.3149505935507,5760.5689590208785,654.4699036898195,1747.4544986945318,14033.880277145045,5195.482047993283,4475.66384477731,2146.2219192090297,1648.0370540416313,1512.1146393071374,13652.5822934916,1079.4783901236128,5087.012816414527,2175.188090913232,10509.656420287212
8,1674.499633302465,3631.6977051031463,6353.674914481208,721.853872236905,1927.3717390651482,15478.803171012585,5279.784203046296,4927.118191675203,2362.708511687394,1814.2723920159274,1664.6396614264233,14537.373914405176,1368.3751923939813,6448.43120997982,2757.325620993348,13322.316831611928
9,1715.765236125176,3721.195601722791,6760.105410872116,768.0292638903667,2050.6614356866535,16468.94788899199,5310.727393554394,5097.836096424751,2444.573129290987,1877.1344483662751,1722.3171483683584,15124.64685738814,1647.7248587808508,7764.858983034546,3320.2253261516157,16042.027612030297
10,1702.6840805779848,3692.8248564350547,7288.429579838318,828.0532425008207,2210.927279633075,17756.049595010638,5245.252295376929,5084.458082214768,2438.157949704508,1872.208371723304,1717.7973515665096,15401.733895138444,1830.8280650278737,8627.727906977096,3689.184924862013,17824.695801329424
11,1698.616139756454,3684.0022021613645,7331.576211014068,832.9552186339096,2224.0157046285794,17861.163284403137,5145.815856903451,4991.296757627186,2393.4841574388684,1837.9043399084271,1686.3225564050028,15470.702381935651,1954.371790557415,9209.92438344793,3938.1300106901213,19027.500896898833
12,1615.3994600475235,3503.519735211408,7050.561979876013,801.0286228242394,2138.770725201609,17176.557283846596,5089.275654344919,5078.362435889689,2435.2348951123054,1869.9638217837937,1715.737921644187,15598.766549510798,2011.9058560544609,9481.052116287852,4054.0632384749456,19587.644820453443
13,1626.7768022034302,3528.1952063647163,6706.481283431397,761.9369181913156,2034.394687835625,16338.308955611816,5064.351817009114,4951.971859157968,2374.6266288146417,1823.4240545091288,1673.0365374529852,15800.194450682993,1983.8184183710325,9348.690823293851,3997.4660332763638,19314.18930482681
14,1617.3816384242787,3507.8187344579887,6714.243574229556,762.8188077663251,2036.7493597563869,16357.21942444097,5121.179556260592,4896.299797269089,2347.93011994861,1802.9243869626407,1654.2275869370033,15974.836806101892,1924.7916651716648,9070.528839891722,3878.5249856562846,18739.512774563518
15,1593.3561415122801,3455.711621226088,7208.492074016034,818.9713806033446,2186.6784328338667,17561.30609062002,5434.451048576399,5041.908032389932,2417.753859324918,1856.540515245549,1703.4217068633302,16406.267592920227,1972.342152263436,9294.609228601397,3974.3409410153354,19202.457921519715
16,1598.169895504872,3466.1518142127825,8303.328916612303,943.3580111648919,2518.7945101764335,20228.54421957996,5840.320237169293,5419.084695029716,2598.6219604259945,1995.4251896778069,1830.8518206883791,16491.036831121975,2123.643324767906,10007.611925747236,4279.2182888010975,20675.505787560367
17,1829.1253479100603,3967.053916428696,8430.857301127886,957.8467691548349,2557.4799335813605,20539.228475416658,5786.940730652046,5647.665297267357,2708.2335657302874,2079.5935533859906,1908.0783700657432,16263.044391340682,2271.7672872975163,10705.642106527372,4577.6934433027,22117.620764609088
18,1945.839469864571,4220.186494319659,8257.22923277558,938.1205327395179,2504.810283881785,20116.23631243032,5478.634072021399,5828.73138980936,2795.060465630879,2146.266038203625,1969.2520190953492,16139.549692902776,2326.4820014092656,10963.483721958923,4687.945575834941,22650.315862269053
19,1846.925248023107,4005.6587958242953,7490.305406389029,850.9887639223718,2272.1658176652063,18247.85885913303,5127.149539003241,5825.847600739075,2793.6775978535675,2145.2041641646674,1968.2777234777413,15774.480160373361,2247.2127454976485,10589.929490156412,4528.215151389151,21878.561048143023
